usd_cleaning_fee,f_room_type,f_property_type,f_room_type2,f_property_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_license,d_jurisdiction_names,d_instant_bookable,d_is_business_travel_ready,d_cancellation_policy,d_require_guest_profile_picture,d_require_guest_phone_verification,d_calculated_host_listings_count,d_calculated_host_listings_count_entire_homes,d_calculated_host_listings_count_private_rooms,d_calculated_host_listings_count_shared_rooms,d_reviews_per_month,d_toilet,d_24hourcheckin,d_accessibleheightbed,d_accessibleheighttoilet,d_airconditioning,d_airpurifier,d_amazonecho,d_babybath,d_babymonitor,d_babysitterrecommendations,d_bathtowel,d_bathroomessentials,d_bathtub,d_bathtubwithbathchair,d_bbqgrill,d_beachessentials,d_bedlinens,d_bedroomcomforts,d_bodysoap,d_breakfast,d_breakfasttable,d_buildingstaff,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_ceilingfan,d_changingtable,d_childrensbooksandtoys,d_childrensdinnerware,d_cleaningbeforecheckout,d_coffeemaker,d_convectionoven,d_cookingbasics,d_crib,d_disabledparkingspot,d_dishesandsilverware,d_dishwasher,d_dogs,d_doorman,d_dryer,d_dvdplayer,d_elevator,d_ensuitebathroom,d_espressomachine,d_essentials,d_ethernetconnection,d_evcharger,d_extrapillowsandblankets,d_extraspacearoundbed,d_familykidfriendly,d_fireextinguisher,d_fireplaceguards,d_firstaidkit,d_fixedgrabbarsforshower,d_fixedgrabbarsfortoilet,d_flatpathtoguestentrance,d_formaldiningarea,d_freeparkingonpremises,d_freestreetparking,d_fullkitchen,d_gameconsole,d_gardenorbackyard,d_groundflooraccess,d_gym,d_hairdryer,d_handheldshowerhead,d_hangers,d_heatedfloors,d_heatedtowelrack,d_heating,d_highchair,d_hostgreetsyou,d_hottub,d_hotwater,d_hotwaterkettle,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_lakeaccess,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_longtermstaysallowed,d_luggagedropoffallowed,d_memoryfoammattress,d_microwave,d_netflix,d_nostairsorstepstoenter,d_other,d_otherpets,d_outletcovers,d_oven,d_packnplaytravelcrib,d_paidparkingoffpremises,d_paidparkingonpremises,d_patioorbalcony,d_petsallowed,d_petsliveonthisproperty,d_pillowtopmattress,d_pocketwifi,d_pool,d_printer,d_privatebathroom,d_privateentrance,d_privatelivingroom,d_rainshower,d_refrigerator,d_roomdarkeningshades,d_safetycard,d_selfcheckin,d_shampoo,d_showerchair,d_singlelevelhome,d_skiinskiout,d_smartlock,d_smarttv,d_smokedetector,d_smokingallowed,d_soakingtub,d_soundsystem,d_stairgates,d_stepfreeshower,d_stove,d_suitableforevents,d_tablecornerguards,d_toiletpaper,d_tv,d_walkinshower,d_washer,d_waterfront,d_welllitpathtoentrance,d_wheelchairaccessible,d_wideclearancetoshower,d_widedoorwaytoguestbathroom,d_wideentrance,d_wideentranceforguests,d_wideentryway,d_widehallways,d_wifi,d_windowguards,price,neighbourhood_cleansed,cancellation_policy,room_type,property_type
5,Shared room,Apartment,Shared,Apartment,strict,Couch,Clifton Down,25,71,2,1,91,24,1,0.42,8,2,0,1726,NA,NA,0,FALSE,strict,0,0,3,0,2,1,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,Clifton Down,strict,Shared room,Apartment
10,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Cotham,70,100,2,1,99,35,2,0.88,35,2,1,1194,NA,NA,0,FALSE,moderate,0,0,2,1,1,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,70,Cotham,moderate,Entire home/apt,Apartment
10,Private room,Apartment,Private,Apartment,strict,Real Bed,Cotham,34,100,2,1,98,187,1,2.68,8,1,1,2096,NA,NA,1,FALSE,strict,0,0,1,0,1,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,34,Cotham,strict,Private room,Apartment
0,Private room,Apartment,Private,Apartment,flexible,Real Bed,Ashley,64,100,2,1.5,95,158,1,2.23,15,14,1,2121,NA,NA,0,FALSE,flexible,0,0,1,0,1,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,64,Ashley,flexible,Private room,Apartment
50,Entire home/apt,Loft,Entire/Apt,Loft,strict,Real Bed,Lawrence Hill,107,100,6,1,98,78,4,1.13,35,1,2,2075,NA,NA,1,FALSE,strict,0,0,7,7,0,0,1.13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,107,Lawrence Hill,strict,Entire home/apt,Loft
NA,Private room,Apartment,Private,Apartment,flexible,Real Bed,Clifton,45,100,2,1,86,16,1,0.6,0,1,NA,795,NA,NA,0,FALSE,flexible,0,0,2,0,2,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,45,Clifton,flexible,Private room,Apartment
NA,Private room,Apartment,Private,Apartment,flexible,Real Bed,Clifton,32,100,1,1,96,105,1,1.57,0,1,0,2005,NA,NA,0,FALSE,flexible,0,0,2,0,2,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,32,Clifton,flexible,Private room,Apartment
8,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Hotwells & Harbourside,140,100,4,2,96,12,4,0.18,30,1,2,2005,NA,NA,1,FALSE,moderate,0,1,2,2,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,140,Hotwells & Harbourside,moderate,Entire home/apt,Apartment
25,Entire home/apt,Apartment,Entire/Apt,Apartment,moderate,Real Bed,Ashley,45,100,2,1,96,57,1,0.85,5,3,1,2002,NA,NA,0,FALSE,moderate,0,0,1,1,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,45,Ashley,moderate,Entire home/apt,Apartment
5,Private room,Apartment,Private,Apartment,moderate,Real Bed,Clifton,29,100,1,1,97,282,1,4.22,0,2,1,2006,NA,NA,0,FALSE,moderate,0,0,1,0,1,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,29,Clifton,moderate,Private room,Apartment
