usd_cleaning_fee,f_room_type,f_property_type,f_room_type2,f_property_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,n_accommodates2,f_bathroom,f_number_of_reviews,n_days_since2,n_days_since3,f_minimum_nights,price,neighbourhood_cleansed,cancellation_policy,room_type,property_type,d_elevator,d_familykidfriendly,d_freeparkingonpremises,d_gym,d_hottub,d_petsallowed,d_pool,d_privatebathroom,d_privateentrance,d_selfcheckin,d_smokingallowed,d_tv,d_wheelchairaccessible,d_24hourcheckin,d_airconditioning,d_bathtub,d_breakfast,d_cleaningbeforecheckout,d_coffeemaker,d_dishwasher,city
40,Entire home/apt,Condominium,Entire/Apt,Loft,strict,Real Bed,Didsbury East,75,93,4,1,92.84275321768327,0,1,NA,0,6,2,NA,16,1,0,NA,NA,3,75,Didsbury East,strict,Entire home/apt,Condominium,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Manchester
30,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,120,96,2,1,100,2,2,1.25,10,1,1,47,4,1,1,2209,103823,1,120,Salford District,flexible,Entire home/apt,Condominium,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Manchester
9,Private room,Apartment,Private,Apartment,strict,Real Bed,Salford District,35,100,2,1.5,93,12,1,5.71,9,1,1,62,4,1,1,3844,238328,1,35,Salford District,strict,Private room,Apartment,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,Manchester
35,Entire home/apt,Condominium,Entire/Apt,Loft,moderate,Real Bed,Salford District,99,96,2,1,100,2,2,1.02,10,1,1,58,4,1,1,3364,195112,1,99,Salford District,moderate,Entire home/apt,Condominium,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Manchester
0,Private room,Condominium,Private,Loft,flexible,Real Bed,Salford District,30,100,1,1,100,7,1,3.56,0,2,1,58,1,1,1,3364,195112,2,30,Salford District,flexible,Private room,Condominium,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Manchester
20,Entire home/apt,Condominium,Entire/Apt,Loft,moderate,Real Bed,Old Moat,150,100,6,2,100,2,1,1.13,0,2,4,52,36,2,1,2704,140608,2,150,Old Moat,moderate,Entire home/apt,Condominium,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Manchester
25,Entire home/apt,Loft,Entire/Apt,Loft,flexible,Real Bed,Salford District,90,96,2,1,100,4,1,2.07,10,1,1,57,4,1,1,3249,185193,1,90,Salford District,flexible,Entire home/apt,Loft,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Manchester
8,Private room,Apartment,Private,Apartment,strict,Real Bed,Salford District,50,90,1,1,93,3,1,2.14,20,1,1,41,1,1,1,1681,68921,1,50,Salford District,strict,Private room,Apartment,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Manchester
0,Entire home/apt,Apartment,Entire/Apt,Apartment,flexible,Real Bed,City Centre,130,0,2,1,92.84275321768327,0,1,NA,0,30,2,NA,4,1,0,NA,NA,3,130,City Centre,flexible,Entire home/apt,Apartment,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Manchester
0,Private room,Condominium,Private,Loft,moderate,Real Bed,Tameside District,20,100,2,1.5,95,4,1,2.03,0,1,2,58,4,1,1,3364,195112,1,20,Tameside District,moderate,Private room,Condominium,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Manchester
10,Entire home/apt,Apartment,Entire/Apt,Apartment,flexible,Real Bed,Salford District,60,100,4,1,100,4,1,3.43,0,2,1,34,16,1,1,1156,39304,2,60,Salford District,flexible,Entire home/apt,Apartment,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,Manchester
25,Entire home/apt,Loft,Entire/Apt,Loft,flexible,Real Bed,Salford District,80,96,2,1,87,3,2,1.76,10,1,1,50,4,1,1,2500,125000,1,80,Salford District,flexible,Entire home/apt,Loft,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Manchester
30,Entire home/apt,Loft,Entire/Apt,Loft,flexible,Real Bed,Salford District,80,96,2,1,100,6,2,3.21,10,1,1,55,4,1,1,3025,166375,1,80,Salford District,flexible,Entire home/apt,Loft,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Manchester
30,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,90,96,2,1,80,3,2,3,10,1,1,26,4,1,1,676,17576,1,90,Salford District,flexible,Entire home/apt,Condominium,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Manchester
